instruction,answer,text,entity1,entity2,label
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：Binding to Serum Proteins: The following agents may either inhibit <e1_current>levothyroxine sodium</e1_current> binding to serum proteins or alter the concentrations of serum binding proteins: <e2_current>androgens</e2_current> and related anabolic hormones, asparaginase, clofibrate, estrogens and estrogen-containing compounds, 5-fluorouracil, furosemide, glucocorticoids, meclofenamic acid, mefenamic acid, methadone, perphenazine, phenylbutazone, phenytoin, salicylates, tamoxifen.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：mechanism
判断依据：<e1_current>为levothyroxine sodium</e1_current>，<e2_current>为androgens</e2_current>；文本中与二者相关的描述为""Binding to Serum Proteins: The following agents may either inhibit <e1_current>levothyroxine sodium<...""，符合mechanism类型的定义。","Binding to Serum Proteins: The following agents may either inhibit <e1_current>levothyroxine sodium</e1_current> binding to serum proteins or alter the concentrations of serum binding proteins: <e2_current>androgens</e2_current> and related anabolic hormones, asparaginase, clofibrate, estrogens and estrogen-containing compounds, 5-fluorouracil, furosemide, glucocorticoids, meclofenamic acid, mefenamic acid, methadone, perphenazine, phenylbutazone, phenytoin, salicylates, tamoxifen.",levothyroxine sodium,androgens,mechanism
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：The potential effects of increased plasma concentrations of <e1_current>midazolam</e1_current> or other [其他药物] metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with <e2_current>Aprepitant</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为midazolam</e1_current>，<e2_current>为Aprepitant</e2_current>；文本中与二者相关的描述为""The potential effects of increased plasma concentrations of <e1_current>midazolam</e1_current> or ot...""，符合advise类型的定义。","The potential effects of increased plasma concentrations of <e1_current>midazolam</e1_current> or other [其他药物] metabolized via CYP3A4 (alprazolam, triazolam) should be considered when coadministering these agents with <e2_current>Aprepitant</e2_current>.",midazolam,Aprepitant,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：The gonadotropin levels may be transiently elevated by <e1_current>spironolactone</e1_current>, minimally elevated by <e2_current>levodopa</e2_current>, and suppressed by oral contraceptives and digoxin.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为spironolactone</e1_current>，<e2_current>为levodopa</e2_current>；文本中与二者相关的描述为""The gonadotropin levels may be transiently elevated by <e1_current>spironolactone</e1_current>, mini...""，符合false类型的定义。","The gonadotropin levels may be transiently elevated by <e1_current>spironolactone</e1_current>, minimally elevated by <e2_current>levodopa</e2_current>, and suppressed by oral contraceptives and digoxin.",spironolactone,levodopa,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1>Diuretics</e1>: Patients on diuretics, especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with <e2>Lotensin</e2>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Diuretics</e1_current>，<e2_current>为Lotensin</e2_current>；文本中与二者相关的描述为""<e1>Diuretics</e1>: Patients on diuretics, especially those in whom diuretic therapy was recently in...""，符合false类型的定义。","<e1>Diuretics</e1>: Patients on diuretics, especially those in whom diuretic therapy was recently instituted, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with <e2>Lotensin</e2>.",Diuretics,Lotensin,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：We report the case of an adolescent with altered consciousness caused by <e1_current>carbamazepine</e1_current> overdose with a positive [其他药物] level to alert clinicians to the cross-reactivity of <e1_current>carbamazepine</e1_current> with a toxicology screen for <e2_current>[其他药物]s</e2_current>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为carbamazepine</e1_current>，<e2_current>为tricyclic antidepressants</e2_current>；文本中与二者相关的描述为""We report the case of an adolescent with altered consciousness caused by <e1_current>carbamazepine</...""，符合advise类型的定义。",We report the case of an adolescent with altered consciousness caused by <e1_current>carbamazepine</e1_current> overdose with a positive [其他药物] level to alert clinicians to the cross-reactivity of <e1_current>carbamazepine</e1_current> with a toxicology screen for <e2_current>[其他药物]s</e2_current>.,carbamazepine,tricyclic antidepressants,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：To avoid this interaction, delavirdine or <e1>indinavir</e1> should be given 1 hour prior to dosing with <e2>VIDEX</e2>.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为indinavir</e1_current>，<e2_current>为VIDEX</e2_current>；文本中与二者相关的描述为""To avoid this interaction, delavirdine or <e1>indinavir</e1> should be given 1 hour prior to dosing ...""，符合advise类型的定义。","To avoid this interaction, delavirdine or <e1>indinavir</e1> should be given 1 hour prior to dosing with <e2>VIDEX</e2>.",indinavir,VIDEX,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：The use of <e1_current>codeine</e1_current> may result in additive CNS depressant effects when coadministered with [其他药物], antihistamines, <e2_current>psychotropics</e2_current> or other drugs that produce CNS depression.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：effect
判断依据：<e1_current>为codeine</e1_current>，<e2_current>为psychotropics</e2_current>；文本中与二者相关的描述为""The use of <e1_current>codeine</e1_current> may result in additive CNS depressant effects when coadm...""，符合effect类型的定义。","The use of <e1_current>codeine</e1_current> may result in additive CNS depressant effects when coadministered with [其他药物], antihistamines, <e2_current>psychotropics</e2_current> or other drugs that produce CNS depression.",codeine,psychotropics,effect
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：<e1>Methotrexate</e1>: NSAIDs have been reported to competitively inhibit <e2>methotrexate</e2> accumulation in rabbit kidney slices.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：false
判断依据：<e1_current>为Methotrexate</e1_current>，<e2_current>为methotrexate</e2_current>；文本中与二者相关的描述为""<e1>Methotrexate</e1>: NSAIDs have been reported to competitively inhibit <e2>methotrexate</e2> accu...""，符合false类型的定义。",<e1>Methotrexate</e1>: NSAIDs have been reported to competitively inhibit <e2>methotrexate</e2> accumulation in rabbit kidney slices.,Methotrexate,methotrexate,false
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：[其他药物] - Although <e2_current>LEXAPRO</e2_current> did not potentiate the cognitive and motor effects of <e1_current>alcohol</e1_current> in a clinical trial, as with other psychotropic medications, the use of <e1_current>alcohol</e1_current> by patients taking <e2_current>LEXAPRO</e2_current> is not recommended.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：advise
判断依据：<e1_current>为alcohol</e1_current>，<e2_current>为LEXAPRO</e2_current>；文本中与二者相关的描述为""[其他药物] - Although <e2_current>LEXAPRO</e2_current> did not potentiate the cognitive and motor effect...""，符合advise类型的定义。","[其他药物] - Although <e2_current>LEXAPRO</e2_current> did not potentiate the cognitive and motor effects of <e1_current>alcohol</e1_current> in a clinical trial, as with other psychotropic medications, the use of <e1_current>alcohol</e1_current> by patients taking <e2_current>LEXAPRO</e2_current> is not recommended.",alcohol,LEXAPRO,advise
"任务：作为医疗文本分析模型，请从以下文本中，判断<e1_current>和<e2_current>所指药物/药物类别之间的DDI（药物-药物相互作用）关系类型。
文本：A two-way interaction between the <e1>hydantoin antiepileptic</e1>, phenytoin, and the <e2>coumarin anticoagulant</e2>s has been suggested.
已知DDI关系类型定义：- false：文本未提及<e1>与<e2>的相互作用，或仅提及二者与其他药物的作用
- mechanism：文本描述<e1>与<e2>联用的作用机制（如代谢途径、靶点关联）
- effect：文本明确描述<e1>与<e2>联用后产生的具体生理效果（如不良反应、功能变化）
- advise：文本未直接描述已发生的效果，仅建议关注<e1>与<e2>联用的潜在风险
- int：文本提及<e1>与<e2>存在相互作用，但未明确机制或效果
要求：1. 先输出明确的关系类型；2. 再说明判断依据（需包含<e1_current>和<e2_current>的具体名称，及文本中支持该关系的关键语句）。","关系类型：int
判断依据：<e1_current>为hydantoin antiepileptic</e1_current>，<e2_current>为coumarin anticoagulant</e2_current>；文本中与二者相关的描述为""A two-way interaction between the <e1>hydantoin antiepileptic</e1>, phenytoin, and the <e2>coumarin ...""，符合int类型的定义。","A two-way interaction between the <e1>hydantoin antiepileptic</e1>, phenytoin, and the <e2>coumarin anticoagulant</e2>s has been suggested.",hydantoin antiepileptic,coumarin anticoagulant,int
